Method,Input,Input log(CFU),CFU,log(CFU)
Pre-enrichment,1.00E+00,0,2.20E+03,3.34
Pre-enrichment,1.00E+00,0,1.60E+03,3.20
Pre-enrichment,1.00E+00,0,1.30E+03,3.11
Pre-enrichment,1.00E+00,0,1.70E+03,3.23
Pre-enrichment,1.00E+00,0,1.30E+03,3.11
Pre-enrichment,1.00E+00,0,2.20E+03,3.34
Pre-enrichment,1.00E+01,1,3.80E+03,3.58
Pre-enrichment,1.00E+01,1,3.00E+03,3.48
Pre-enrichment,1.00E+01,1,3.80E+03,3.58
Pre-enrichment,1.00E+01,1,2.00E+03,3.30
Pre-enrichment,1.00E+01,1,3.80E+03,3.58
Pre-enrichment,1.00E+01,1,2.50E+03,3.40
Pre-enrichment,1.00E+02,2,1.80E+04,4.26
Pre-enrichment,1.00E+02,2,1.00E+04,4.00
Pre-enrichment,1.00E+02,2,9.00E+03,3.95
Pre-enrichment,1.00E+02,2,5.00E+03,3.70
Pre-enrichment,1.00E+02,2,1.00E+04,4.00
Pre-enrichment,1.00E+02,2,9.00E+03,3.95
Pre-enrichment,1.00E+02,2,7.00E+02,2.85
Pre-enrichment,1.00E+03,3,8.00E+02,2.90
Pre-enrichment,1.00E+03,3,1.20E+03,3.08
Pre-enrichment,1.00E+03,3,9.00E+02,2.95
Pre-enrichment,1.00E+03,3,1.60E+04,4.20
Pre-enrichment,1.00E+04,4,1.50E+04,4.18
Pre-enrichment,1.00E+04,4,1.30E+04,4.11
Pre-enrichment,1.00E+04,4,1.50E+04,4.18
Pre-enrichment,1.00E+04,4,1.00E+05,5.00
Pre-enrichment,1.00E+05,5,1.40E+05,5.15
Pre-enrichment,1.00E+05,5,1.50E+05,5.18
Pre-enrichment,1.00E+05,5,1.60E+05,5.20
Pre-enrichment,1.00E+05,5,1.90E+06,6.28
Pre-enrichment,1.00E+06,6,1.50E+06,6.18
Pre-enrichment,1.00E+06,6,1.50E+06,6.18
Pre-enrichment,1.00E+06,6,1.40E+06,6.15
Pre-enrichment,1.00E+06,6,5.00E+06,6.70
Pre-enrichment,1.00E+07,7,7.00E+06,6.85
Pre-enrichment,1.00E+07,7,3.00E+06,6.48
Pre-enrichment,1.00E+07,7,5.00E+06,6.70
Pre-enrichment,1.00E+07,7,2.00E+07,7.30
Direct plating,1.00E+00,0,2.00E+02,2.30
Direct plating,1.00E+00,0,0.00E+00,0.00
Direct plating,1.00E+00,0,0.00E+00,0.00
Direct plating,1.00E+01,1,6.00E+02,2.78
Direct plating,1.00E+01,1,0.00E+00,0.00
Direct plating,1.00E+01,1,0.00E+00,0.00
Direct plating,1.00E+02,2,6.00E+02,2.78
Direct plating,1.00E+02,2,2.00E+02,2.30
Direct plating,1.00E+02,2,1.00E+02,2.00
Direct plating,1.00E+03,3,6.00E+02,2.78
Direct plating,1.00E+03,3,1.20E+03,3.08
Direct plating,1.00E+03,3,1.40E+03,3.15
Direct plating,1.00E+04,4,1.00E+03,3.00
Direct plating,1.00E+04,4,2.40E+03,3.38
Direct plating,1.00E+04,4,3.50E+03,3.54
Direct plating,1.00E+05,5,4.80E+03,3.68
Direct plating,1.00E+05,5,3.60E+03,3.56
Direct plating,1.00E+05,5,3.80E+03,3.58
Direct plating,1.00E+06,6,1.00E+04,4.00
Direct plating,1.00E+06,6,1.00E+04,4.00
Direct plating,1.00E+06,6,1.00E+04,4.00
Direct plating,1.00E+07,7,2.00E+05,5.30
Direct plating,1.00E+07,7,1.00E+04,4.00
