Broth,OD600,CFU/mL,log CFU/mL
BHI,0.25,3.40E+04,4.531478917
BHI,0.25,5.50E+05,5.740362689
BHI,0.25,5.60E+05,5.748188027
BHI,0.485,7.60E+07,7.880813592
BHI,0.487,8.40E+07,7.924279286
BHI,0.5,7.60E+07,7.880813592
BHI,0.5,8.40E+07,7.924279286
BHI,0.5,6.30E+07,7.799340549
BHI,0.676,9.00E+07,7.954242509
BHI,0.75,4.80E+07,7.681241237
BHI,0.75,4.10E+07,7.612783857
BHI,0.75,5.80E+08,8.763427994
BHI,1,5.30E+09,9.72427587
BHI,1,3.70E+09,9.568201724
BHI,1,6.20E+10,10.79239169
BPW,0.25,3.40E+07,7.531478917
BPW,0.25,3.60E+07,7.556302501
BPW,0.25,4.40E+07,7.643452676
BPW,0.369,6.60E+07,7.819543936
BPW,0.39,2.80E+07,7.447158031
BPW,0.44,6.00E+07,7.77815125
BPW,0.5,3.00E+08,8.477121255
BPW,0.5,3.00E+08,8.477121255
BPW,0.5,2.80E+08,8.447158031
BPW,0.75,3.50E+09,9.544068044
BPW,0.75,3.70E+09,9.568201724
BPW,0.75,3.80E+09,9.579783597
BPW,1,5.20E+09,9.716003344
BPW,1,5.60E+09,9.748188027
BPW,1,5.40E+09,9.73239376
DM,0.25,1.52E+07,7.181843588
DM,0.25,1.56E+07,7.193124598
DM,0.25,1.10E+07,7.041392685
DM,0.469,9.00E+07,7.954242509
DM,0.499,1.04E+08,8.017033339
DM,0.5,8.40E+07,7.924279286
DM,0.5,5.60E+06,6.748188027
DM,0.5,2.30E+08,8.361727836
DM,0.5,8.40E+07,7.924279286
DM,0.75,4.10E+09,9.612783857
DM,0.75,4.20E+08,8.62324929
DM,0.75,4.66E+08,8.668385917
DM,0.76,4.66E+08,8.668385917
DM,0.77,4.68E+08,8.670245853
DM,0.85,4.20E+08,8.62324929
DM,1,5.00E+08,8.698970004
DM,1,4.30E+09,9.633468456
DM,1,1.50E+08,8.176091259
TS,0.25,8.10E+04,4.908485019
TS,0.25,7.40E+04,4.86923172
TS,0.25,6.90E+04,4.838849091
TS,0.5,6.40E+05,5.806179974
TS,0.5,1.08E+06,6.033423755
TS,0.5,1.00E+06,6
TS,0.75,5.80E+06,6.763427994
TS,0.75,8.60E+06,6.934498451
TS,0.75,1.00E+07,7
TS,1,7.20E+07,7.857332496
TS,1,6.60E+07,7.819543936
TS,1,1.04E+08,8.017033339
