Time,Broth,log cfu
2 hours,BPW,7.45
2 hours,BPW,7.82
2 hours,BPW,7.78
2 hours,DM,7.18
2 hours,DM,7.19
2 hours,DM,7.04
2 hours,BHI,7.95
2 hours,BHI,7.88
2 hours,BHI,7.92
2 hours,TS,7.48
2 hours,TS,7.58
2 hours,TS,7.66
4 hours,BPW,8.52
4 hours,BPW,8.58
4 hours,BPW,8.60
4 hours,DM,7.95
4 hours,DM,7.92
4 hours,DM,8.02
4 hours,BHI,9.06
4 hours,BHI,9.01
4 hours,BHI,8.93
4 hours,TS,8.72
4 hours,TS,9.03
4 hours,TS,8.87
6 hours,BPW,8.89
6 hours,BPW,8.95
6 hours,BPW,8.86
6 hours,DM,8.96
6 hours,DM,8.62
6 hours,DM,8.67
6 hours,BHI,9.25
6 hours,BHI,9.19
6 hours,BHI,9.10
6 hours,TS,9.07
6 hours,TS,8.96
6 hours,TS,9.04
8 hours,BPW,8.90
8 hours,BPW,9.00
8 hours,BPW,8.96
8 hours,DM,8.83
8 hours,DM,8.67
8 hours,DM,8.70
8 hours,BHI,9.23
8 hours,BHI,9.25
8 hours,BHI,9.11
8 hours,TS,9.03
8 hours,TS,9.19
8 hours,TS,9.18
