Extraction Kit ,Contam,Sample
Boiling,1.63,9
Boiling,1.68,9
Boiling,1.66,9
Boiling,1.71,10
Boiling,1.71,10
Boiling,1.75,10
Boiling,1.74,11
Boiling,1.74,11
Boiling,1.81,11
Boiling,1.65,12
Boiling,1.75,12
Boiling,1.80,12
Boiling,1.71,9
Boiling,1.70,9
Boiling,1.69,9
Boiling,1.79,10
Boiling,1.74,10
Boiling,1.72,10
Boiling,1.78,11
Boiling,1.83,11
Boiling,1.72,11
Boiling,1.79,12
Boiling,1.68,12
Boiling,1.71,12
Boiling,1.70,9
Boiling,1.78,9
Boiling,1.72,9
Boiling,1.73,10
Boiling,1.75,10
Boiling,1.78,10
Boiling,1.70,11
Boiling,1.64,11
Boiling,1.89,11
Boiling,1.72,12
Boiling,1.90,12
Boiling,1.76,12
Qiagen Dneasy,1.98,9
Qiagen Dneasy,1.85,9
Qiagen Dneasy,1.76,9
Qiagen Dneasy,1.96,10
Qiagen Dneasy,2.09,10
Qiagen Dneasy,2.06,10
Qiagen Dneasy,2.16,11
Qiagen Dneasy,2.18,11
Qiagen Dneasy,2.14,11
Qiagen Dneasy,2.06,12
Qiagen Dneasy,2.00,12
Qiagen Dneasy,1.94,12
Qiagen Dneasy,2.05,9
Qiagen Dneasy,2.04,9
Qiagen Dneasy,2.11,9
Qiagen Dneasy,1.98,10
Qiagen Dneasy,2.25,10
Qiagen Dneasy,1.98,10
Qiagen Dneasy,2.00,11
Qiagen Dneasy,2.17,11
Qiagen Dneasy,2.07,11
Qiagen Dneasy,2.12,12
Qiagen Dneasy,2.12,12
Qiagen Dneasy,1.94,12
Qiagen Dneasy,1.73,9
Qiagen Dneasy,1.96,9
Qiagen Dneasy,1.53,9
Qiagen Dneasy,1.96,10
Qiagen Dneasy,1.94,10
Qiagen Dneasy,1.86,10
Qiagen Dneasy,2.05,11
Qiagen Dneasy,2.09,11
Qiagen Dneasy,2.02,11
Qiagen Dneasy,1.65,12
Qiagen Dneasy,1.82,12
Qiagen Dneasy,2.04,12
Lucigen MasterPure,2.08,9
Lucigen MasterPure,2.09,9
Lucigen MasterPure,2.11,9
Lucigen MasterPure,2.13,10
Lucigen MasterPure,2.13,10
Lucigen MasterPure,2.14,10
Lucigen MasterPure,2.12,11
Lucigen MasterPure,2.08,11
Lucigen MasterPure,2.11,11
Lucigen MasterPure,2.11,12
Lucigen MasterPure,2.14,12
Lucigen MasterPure,2.15,12
Lucigen MasterPure,2.03,9
Lucigen MasterPure,2.11,9
Lucigen MasterPure,2.12,9
Lucigen MasterPure,2.06,10
Lucigen MasterPure,2.07,10
Lucigen MasterPure,2.09,10
Lucigen MasterPure,2.12,11
Lucigen MasterPure,2.14,11
Lucigen MasterPure,2.09,11
Lucigen MasterPure,2.09,12
Lucigen MasterPure,2.11,12
Lucigen MasterPure,2.12,12
Lucigen MasterPure,2.10,9
Lucigen MasterPure,2.03,9
Lucigen MasterPure,2.07,9
Lucigen MasterPure,2.12,10
Lucigen MasterPure,2.08,10
Lucigen MasterPure,2.05,10
Lucigen MasterPure,2.08,11
Lucigen MasterPure,2.09,11
Lucigen MasterPure,2.10,11
Lucigen MasterPure,2.05,12
Lucigen MasterPure,2.04,12
Lucigen MasterPure,2.16,12
Promega Wizard,2.11,9
Promega Wizard,2.19,9
Promega Wizard,2.18,9
Promega Wizard,2.14,10
Promega Wizard,2.19,10
Promega Wizard,2.23,10
Promega Wizard,2.24,11
Promega Wizard,2.34,11
Promega Wizard,2.08,11
Promega Wizard,2.20,12
Promega Wizard,2.21,12
Promega Wizard,2.18,12
Promega Wizard,1.97,9
Promega Wizard,2.01,9
Promega Wizard,2.01,9
Promega Wizard,2.08,10
Promega Wizard,2.07,10
Promega Wizard,2.08,10
Promega Wizard,1.99,11
Promega Wizard,2.09,11
Promega Wizard,2.10,11
Promega Wizard,2.00,12
Promega Wizard,2.08,12
Promega Wizard,2.08,12
Promega Wizard,2.07,9
Promega Wizard,1.98,9
Promega Wizard,1.86,9
Promega Wizard,2.04,10
Promega Wizard,1.99,10
Promega Wizard,2.05,10
Promega Wizard,1.64,11
Promega Wizard,1.96,11
Promega Wizard,1.85,11
Promega Wizard,1.84,12
Promega Wizard,1.91,12
Promega Wizard,2.08,12
NEB Monarch,1.91,9
NEB Monarch,2.06,9
NEB Monarch,1.96,9
NEB Monarch,1.76,10
NEB Monarch,1.93,10
NEB Monarch,1.80,10
NEB Monarch,1.71,11
NEB Monarch,1.72,11
NEB Monarch,1.84,11
NEB Monarch,1.81,12
NEB Monarch,1.84,12
NEB Monarch,1.86,12
NEB Monarch,1.72,9
NEB Monarch,1.85,9
NEB Monarch,1.70,9
NEB Monarch,1.64,10
NEB Monarch,1.66,10
NEB Monarch,1.39,10
NEB Monarch,2.04,11
NEB Monarch,1.80,11
NEB Monarch,1.76,11
NEB Monarch,1.65,12
NEB Monarch,1.59,12
NEB Monarch,1.73,12
NEB Monarch,1.34,9
NEB Monarch,1.69,9
NEB Monarch,1.65,9
NEB Monarch,1.83,10
NEB Monarch,1.62,10
NEB Monarch,1.63,10
NEB Monarch,1.57,11
NEB Monarch,1.81,11
NEB Monarch,1.90,11
NEB Monarch,1.59,12
NEB Monarch,1.82,12
NEB Monarch,1.62,12
Zymo Miniprep,1.57,9
Zymo Miniprep,1.43,9
Zymo Miniprep,1.46,9
Zymo Miniprep,1.54,10
Zymo Miniprep,1.29,10
Zymo Miniprep,1.55,10
Zymo Miniprep,1.51,11
Zymo Miniprep,1.79,11
Zymo Miniprep,1.66,11
Zymo Miniprep,1.58,12
Zymo Miniprep,1.49,12
Zymo Miniprep,1.72,12
Zymo Miniprep,1.68,9
Zymo Miniprep,1.54,9
Zymo Miniprep,1.37,9
Zymo Miniprep,1.48,10
Zymo Miniprep,1.67,10
Zymo Miniprep,1.58,10
Zymo Miniprep,1.68,11
Zymo Miniprep,1.61,11
Zymo Miniprep,1.70,11
